PrimaryAuthor,PrimaryCountry,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Year,PublicationTitle,PublicationType,TitleChapter,Class,FlashBehaviour,SpellingFlashBehaviour,CitationFlashBehaviour,BehaviourFlashBehaviour,MorphologyFlashBehaviour,FlashColour,SpellingFlashColour,CitationFlashColour,BehaviourFlashColour,MorphologyFlashColour,FlashColouration,SpellingFlashColouration,CitationFlashColouration,BehaviourFlashColouration,MorphologyFlashColouration,FlashDisplay,CitationFlashDisplay,BehaviourFlashDisplay,MorphologyFlashDisplay,FlashMark,CitationFlashMark,BehaviourFlashMark,MorphologyFlashMark,Other,OtherText,CitationOther,BehaviourOther,MorphologyOther,Definition,Definition1Text,CitationDefinition1,BehaviourMorphologyDefinition1,Definition2Text,CitationDefinition2,BehaviourMorphologyDefinition2,Description,Description1Text,CitationDescription1,BehaviourMorphologyDescription1,Description2Text,CitationDescription2,BehaviourMorphologyDescription2,,,,,,,,,,,,,,,,,,,
"Andriamaharavo, N.R.",USA,"Garraffo, H.M.","Saporito, R.A.","Daly, J. W.","Razafindrabe, C. R.","Adriantsiferana, M.","Spande, T. F.",,,,,,,2010,Journal of Natural Products,Journal,Roughing it: A Mantellid poison frog shows greater alkaloid diversity in some disturbed habitats,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
Anonymous,USA,,,,,,,,,,,,,1945,Nature,Journal,Animal Concelament and Flash Coloration,invertebrates,0,,no,0,0,0,,no,0,0,1,US,Cott 1940,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"""Momentary display by animals of conspicuous colours followed by reliance upon procrypsis""",no,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Araujo-Vieira, K.",Argentina,"Brandau, R. A.","Faria, D.C. do C.",,,,,,,,,,,2015,Zootaxa,Journal,"A new species of rock-dwelling Scinax Wagler (Anura: Hylidae) from Chapada dos Veadeiros, central Brazil",amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Arnold, E. N.",UK,,,,,,,,,,,,,1984,Journal of Natural History,Journal,Evolutionary aspects of tail shedding in lizards and their relatives,reptiles,0,,no,0,0,1,UK,no,0,1,1,US,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"bright markings may be 'flash colours': in lizards where the underside of the tail is conspicuously marked, exposure and then sudden concealment of this pattern by a running animal may fix the attention of a predator on the spot where the bright colouring was last seen, even though the otherwise cryptically coloured prey has moved on.",no,t,no,no,no,,,,,,,,,,,,,,,,,,,
"Bae, S.",South Korea,"Kim, D.","Sherratt, T.N.","Caro, T.","Kang, C.",,,,,,,,,2019,The Ecology of Butterflies in Britain,Journal,How size and conspicuousness affect the efficacy of flash coloration,simulated prey,0,,no,0,0,0,,no,0,0,1,US,"Anonymous 1945, Edmunds 2008",1,0,1,Loeffler-Henry et al. 2018,1,0,0,no,0,0,1,flashing,no,1,0,yes,"""Flash coloration describes the behavior of an otherwise cryptic prey exhibiting a conspicuous coloration in motion yet hiding the conspicuous patch on stopping""","Edmunds 2008, Loeffler_Henry et al. 2018",b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Baêta, D.",Brazil,"Giasson, L. O. M.","Pombal, J. P. Jnr","Haddad, C. F. B.",,,,,,,,,,2016,Herpetological Monographs,Journal,"Review of the rare genus Phrynomedusa Miranda-Ribeiro, 1923 (Anura: Phyllomedusidae) with description of a new species",amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Baker, R. R.",UK,"Parker, G. A.",,,,,,,,,,,,1979,"Philosophical Transactions of the Royal Society of London. B, Biological Sciences",Journal,The evolution of bird coloration,birds,0,,no,0,0,1,UK,"Hingston 1933, Smythe 1970, Alcock 1975",0,1,1,US,no,0,1,0,no,0,0,0,no,0,0,1,"flash patterns, alarm flashing, flash cues, flashing",no,1,1,yes,"Other aspects of plumage may act as flash patterns when the bird takes flight in response to a predatory attack. Many normally cryptic birds show flash colorations on taking flight, e.g. the underwing on waders (many of which are cryptic) consists of black-white bars. These flash colours may act both as protean defence and/or as 'perception advertisement' signals in which the prey communicate to the predator that the predator has been sighted","Hingston 1933, Smythe 1970, Alcock 1975",t,"However, a variant of the 'unprofitable prey' theory may be the most plausible interpretation of alarm flashing and alarm calls. The prey may be unprofitable because it has perceived the predator and is therefore difficult to catch","Hingston 1933, Smythe 1970, Alcock 1975",b,yes,"Thus many perception advertisement signals appear to accentuate the fact that the prey is about to flee, e.g. many mammals have white rump colorations that are most conspicuous during escape. In birds, the conspicuous flashings (particularly on the underside of the wings) are very likely to serve this function. Many birds, on sighting a ground predator, fly a small distance to a safer vantage point from where they view the predator. As a wader flock (especially of knot, Calidris canuta) is approached, some individuals often raise their wings (showing the conspicuous bars); as the observer approaches even closer, the flock takes flight.",no,b,"In addition, two areas of flash coloration were recognized: (i) wing bars, rump and outer tail feathers, and (ii) underside of wings and underside of tail. The reason for lumping the 'flash' regions of the body in these particular combinations was that wing bars, rump, and outer tail feathers are visible from the side, rear and above as soon as the bird prepares for take-off. In contrast, the underside of the wings and tail are seen from beneath when the bird is already in the air, or perhaps from the front as the bird comes in to land. Thus (i) and (ii) may have rather different ecological implications.",no,t,,,,,,,,,,,,,,,,,,,
"Ball, G.E.",Canada,"Shpeley, D.",,,,,,,,,,,,1983,The Canadian Entomologist,Journal,The species of eucheiloid pericalina: Classification and evolutionary considerations (coleoptera: Carabidae: Lebiini),invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"""features of the body surface thought to be associated with avoidance of predators (concealment and flash coloration).""",no,t,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Barbour, T.",USA,,,,,,,,,,,,,1923,Occasional Papers of the Museum of Zoology,Journal,Notes on reptiles and amphibians from Panama,reptiles,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Barnard, C. J.",UK,,,,,,,,,,,,,1983,Animal Behaviour,Book,Anti-predator behaviour,general,1,UK,no,1,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,"flash flight, flash function, flash sounds",no,1,0,yes,"""Flash flight"". A quite different way of enhancing escape by flight is to use so-called ""flash"" behaviour. Here, the alarmed prey animal flees for a short distance and then ""freezes"". Some predators are unexcited by immobile prey and a startling flash of activity followed by immobility may confuse them.",no,b,"In some species, ""flash"" behaviour is enhanced by the display of bright body markings.",no,b,yes,"Many species of orthopterans, mantids and cicadas also have brightly coloured wings which are exposed only in flight. Similarly, some frogs and lizards have brightly coloured patches or frills which may serve as a 'flash' function when they move quickly. The familiar silvery flashing of small fish when a shoal suddenly breaks up may also have an anti-predator effect. Some species even appear to possess flash sounds.",no,b,no,no,no,,,,,,,,,,,,,,,,,,,
